abs_first_discharge_capacity_difference_cycles_2:100,abs_kurtosis_discharge_capacity_difference_cycles_2:100,abs_mean_discharge_capacity_difference_cycles_2:100,abs_min_discharge_capacity_difference_cycles_2:100,abs_skew_discharge_capacity_difference_cycles_2:100,abs_variance_discharge_capacity_difference_cycles_2:100,charge_time_cycles_1:5,discharge_capacity_cycle_100,discharge_capacity_cycle_2,integrated_time_temperature_cycles_1:100,intercept_discharge_capacity_cycle_number_2:100,intercept_discharge_capacity_cycle_number_91:100,max_discharge_capacity_difference,max_temperature_cycles_1:100,min_temperature_cycles_1:100,nominal_capacity_by_median,slope_discharge_capacity_cycle_number_2:100,slope_discharge_capacity_cycle_number_91:100,capacity_0.8,capacity_0.83,capacity_0.86,capacity_0.89,capacity_0.92,capacity_0.95,capacity_0.98
-0.6195620715981169,0.9330000803340476,-1.0868632906980615,0.19771895772117556,0.12098434702197844,-0.8870461099079733,2099.199951171875,2.296,2.697,311213.4194783528,2.7637012121212114,2.6444545454545483,2.6340000000000003,24.450000762939453,16.409000396728516,2.5780000000000003,-0.005240024002400222,-0.003521212121212158,206.0,156.0,124.0,100.0,78.0,57.0,35.0
-0.8750780344827788,0.7649301718359621,-1.2125716766245702,0.09995398540261834,-0.16449094201993844,-0.9625762793442239,2073.60009765625,2.287,2.579,299337.0387837728,2.709505454545455,2.640636363636365,2.5100000000000002,24.882999420166016,16.263999938964844,2.5495,-0.00453891989198921,-0.0035696969696969913,226.0,164.0,130.0,105.0,83.0,62.0,43.0
-0.6889663783290056,0.36204791841270967,-1.3393631231984042,0.033846410708367046,-0.05512424077702061,-0.8443887967267676,2073.60009765625,2.316,2.724,279772.0487711589,2.7890812121212116,2.6526727272727273,2.6899999999999995,31.30500030517578,16.363000869750977,2.5985000000000005,-0.0053651725172517185,-0.003406060606060617,197.0,154.0,125.0,101.0,78.0,55.0,33.0
-0.6719670800334128,0.6233102418453338,-1.583911913171263,0.002804691195334864,0.12926657651593876,-1.0202482749139141,2073.60009765625,2.294,2.714,286196.086521403,2.7646896969696964,2.636781818181816,2.6759999999999997,35.32500076293945,16.07699966430664,2.577,-0.005288904890489041,-0.0034484848484848387,195.0,152.0,123.0,100.0,78.0,55.0,2.0
-0.8823753516136577,0.7093048181590412,-1.1738139043291125,0.35284816804343966,-0.5537858400570412,-0.4925530739744543,2099.199951171875,2.661,2.907,590770.753523763,2.834664848484848,2.8244545454545413,2.849,30.141000747680664,25.106000900268555,2.681,-0.004729996999699964,-0.0016545454545454255,552.0,552.0,61.0,57.0,49.0,34.0,27.0
-0.6875080976075405,0.15225972617510886,-1.4688069606437664,0.4141969611878982,-0.6845627683125088,-0.09177863265149573,2073.60009765625,2.667,2.99,645270.6547851562,3.023505454545454,2.7349636363636414,2.932999999999999,28.538000106811523,25.41900062561035,2.8419999999999996,-0.004567632763276323,-0.0006969696969697536,207.0,207.0,207.0,207.0,159.0,69.0,35.0
-0.74241546952131,-0.14041245737899893,-1.0302999700936375,0.394611224649306,-0.7651968141870655,-0.07875705722545938,2099.199951171875,2.642,2.967,522826.9643391927,2.9885430303030294,2.7468545454545397,2.8800000000000003,32.465999603271484,25.53499984741211,2.8115,-0.0043580798079807855,-0.0010545454545454053,520.0,520.0,256.0,256.0,165.0,77.0,36.0
-0.7111927132176492,-0.537221719592357,-1.2418187566741128,0.38916065024518653,-1.1011679206717524,-0.013175546470556593,2099.199951171875,2.602,2.914,495523.0138346354,2.9344696969696957,2.7158181818181752,2.8270000000000004,29.70400047302246,24.770000457763672,2.761,-0.004181974197419717,-0.0011515151515150914,784.0,784.0,256.0,256.0,175.0,82.0,37.0
-0.7287891523979857,-0.21744576142683766,-1.407869117754771,0.3870879061887804,-0.8102014665104821,-0.06333871463663307,2073.60009765625,2.6210000000000004,2.931,504901.3754353841,2.955142424242424,2.7343454545454513,2.841,30.70199966430664,25.10099983215332,2.7835,-0.004212127212721259,-0.0011454545454545207,396.0,396.0,132.0,132.0,132.0,79.0,37.0
-0.7086028348509468,0.18492635082488104,-1.118034543293378,0.3965227424449353,-0.46352490780864153,-0.22037161398054722,2073.60009765625,2.627,2.96,495245.22578938806,2.974028484848486,2.7408181818181894,2.864,31.101999282836914,24.635000228881836,2.7960000000000003,-0.004374227422742291,-0.001151515151515234,528.0,132.0,132.0,132.0,132.0,76.0,35.0
-0.7546812508422339,0.5008987674130905,-1.336708943664313,0.2513970581789469,-0.21463230815466786,-0.5439498734431408,2048.0,2.611,2.929,434951.4205769856,2.9478242424242422,2.71605454545455,2.8380000000000005,40.069000244140625,24.56800079345703,2.774,-0.004233747374737471,-0.0010545454545455124,660.0,132.0,132.0,132.0,132.0,79.0,36.0
-1.2403129579402994,0.36194481420887586,-0.7160754413157211,0.17718736403827967,-0.3609581813172603,-0.5917418052743423,2048.0,2.63,2.793,428807.19724121096,2.910203030303031,2.743145454545455,2.748,42.09299850463867,23.95800018310547,2.7715,-0.0034555055505550588,-0.0011454545454545643,132.0,132.0,132.0,132.0,132.0,97.0,41.0
-0.6649916831765217,-0.07720437104466749,-1.0398886601439954,0.28803266945406086,-0.46818883438627473,-0.27659788202602853,2099.199951171875,2.6210000000000004,2.938,439756.74818522134,2.964301212121213,2.47465454545453,2.8799999999999994,44.59600067138672,25.378999710083008,2.7865,-0.004339033903390338,0.001545454545454692,729.0,729.0,213.0,213.0,126.0,78.0,36.0
-0.6350514048716748,0.04966934792700521,-1.1138875644686264,0.30644674161977614,-0.42310860882583246,-0.26569180129791736,2048.0,2.629,2.965,444173.71905924473,2.9747612121212113,2.742145454545445,2.8840000000000003,46.013999938964844,25.242000579833984,2.7935000000000003,-0.004376063606360615,-0.0011454545454544639,551.0,551.0,212.0,212.0,174.0,79.0,36.0
-0.5969255051531818,-1.7039822307644203,-0.5451792342592954,0.3401483700513604,-0.17675482542301327,-0.027987683467609614,2099.199951171875,2.6180000000000003,2.958,438253.20078938804,2.9616119772626632,2.728381818181809,2.801,49.45500183105469,26.343000411987305,2.789,-0.004248163844721228,-0.0011151515151514276,697.0,697.0,58.0,58.0,58.0,58.0,35.0
-0.6025566579205176,0.014303220649557144,-1.1048260743593792,0.30661202495780143,-0.6647603519733967,-0.24458157760844404,2099.199951171875,2.632,2.9730000000000003,456925.050797526,2.9826581818181808,2.736254545454542,2.8940000000000006,47.7869987487793,25.945999145507812,2.7995,-0.004443330333033293,-0.0010545454545454302,904.0,904.0,211.0,211.0,135.0,76.0,35.0
-1.2901098315281028,0.8172327607041459,-1.2347536714761502,0.17528413053390354,-0.3877871917752703,-0.9590624543273597,2073.60009765625,1.8,2.969,397114.4382568359,1.960127878787878,1.800000000000005,0.0,28.638999938964844,24.940000534057617,1.8,-0.0023623342334233273,-5.302977324059797e-17,4350.0,4350.0,4350.0,4350.0,4350.0,4350.0,4350.0
-0.9365835319070298,0.4900105812342858,-0.7026809316558381,0.21789542916994856,-0.1838237202168735,-0.7244786862235473,2048.0,1.8,2.98,401200.1458374023,1.9615060606060601,1.800000000000005,0.0,28.97599983215332,25.329999923706055,1.8,-0.002382694269426937,-5.302977324059797e-17,3630.0,3630.0,3630.0,3630.0,3630.0,3630.0,3630.0
